reporting_airline,airport,n,x,y
Southwest Airlines,FLL,44015,1989416.8668556917,-1869685.279595282
Southwest Airlines,FNT,2204,1311994.7209737643,-94908.29069657825
Southwest Airlines,GEG,7086,-1301359.421680582,434754.4516689109
Southwest Airlines,GRR,4368,1172122.820083283,-131332.61154739256
Southwest Airlines,GSP,2080,1613274.8060153143,-951578.4592630994
Southwest Airlines,HOU,102369,460280.73628586193,-1689712.830489488
Southwest Airlines,HRL,4134,237048.03015074244,-2075075.3380641756
Southwest Airlines,IAD,4542,1922328.2460675351,-409030.73296909296
Southwest Airlines,ICT,2814,226443.7486944286,-813259.0022928995
Southwest Airlines,IND,25782,1166867.010981104,-490339.71160834696
Southwest Airlines,ISP,9136,2215883.546956132,-99560.578426239
Southwest Airlines,JAX,8854,1752547.7524868262,-1421732.3716896002
Southwest Airlines,LAS,147848,-1356682.4796960566,-868251.8410072095
Southwest Airlines,LAX,84912,-1689593.4354288722,-1043456.7015018368
Southwest Airlines,LBB,4910,-169260.8260850428,-1256692.0105488796
Southwest Airlines,LGA,21968,2155684.513057,-122316.28523641168
Southwest Airlines,LGB,4245,-1669160.1672619907,-1062148.6422438323
Southwest Airlines,LIT,4883,712194.5002882322,-1107832.4518794755
Southwest Airlines,MAF,6062,-209054.6593990342,-1446122.8030006909
Southwest Airlines,MCI,50610,455074.4312943624,-619331.8913740775
Southwest Airlines,MCO,79579,1829771.2698870576,-1638824.7811905802
Southwest Airlines,MDW,165918,1011185.7905791268,-281702.30650750065
Southwest Airlines,MEM,6852,913341.2595404746,-1051685.0479322155
Southwest Airlines,MHT,9140,2266652.2564188894,174443.80657271238
Southwest Airlines,MKE,25271,980769.513678976,-155418.02245427898
Southwest Airlines,MSP,17700,533284.8020873081,9198.64416372486
Southwest Airlines,MSY,39248,943779.1568939897,-1610813.662288556
Southwest Airlines,OAK,79940,-1929816.947397706,-549399.1884917811
Southwest Airlines,OKC,13101,218240.3077465392,-1063902.9710996167
Southwest Airlines,OMA,13607,343006.6325637459,-402442.5398354072
Southwest Airlines,ONT,23254,-1614545.9907031525,-1046821.4894757676
Southwest Airlines,ORF,5662,2086513.5755781755,-600723.1638676772
Southwest Airlines,PBI,5292,1982322.2831828392,-1802085.774986376
Southwest Airlines,PDX,27726,-1729571.0771865274,310444.7043324455
Southwest Airlines,PHL,17632,2075929.4181951769,-255080.32292677445
Southwest Airlines,PHX,121839,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,PIT,20272,1653058.7188770992,-301571.10045485134
Southwest Airlines,PNS,2558,1232374.963107157,-1519383.0474165194
Southwest Airlines,PVD,14158,2312630.224903233,45984.38112504096
Southwest Airlines,PWM,2458,2323046.368311461,282201.85932739975
Southwest Airlines,RDU,20692,1892329.2704660424,-772779.4700067013
Southwest Airlines,RIC,2150,1974576.5147112373,-562009.3202353421
Southwest Airlines,RNO,16178,-1678096.5663649472,-409666.019399356
Southwest Airlines,ROC,3688,1784302.386940441,37810.92949343497
Southwest Airlines,RSW,14824,1822839.8385921961,-1854169.26849232
Southwest Airlines,SAN,72076,-1603701.5452417962,-1199220.2306533586
Southwest Airlines,SAT,32688,149495.41162521293,-1713236.8214802423
Southwest Airlines,SDF,8862,1241535.522119959,-652005.0450171886
Southwest Airlines,SEA,24101,-1650755.3926562539,505066.6320739882
Southwest Airlines,SFO,34626,-1945640.7538789264,-556902.5127197708
Southwest Airlines,SJC,52225,-1914820.4720456952,-595055.2286396603
Southwest Airlines,SLC,22127,-1004609.4621734885,-395049.06406783813
Southwest Airlines,SMF,50852,-1850472.0747063856,-458086.04301328777
Southwest Airlines,SNA,35436,-1646508.559850192,-1083248.598617272
Southwest Airlines,STL,73369,834066.6669227502,-646449.0468188728
Southwest Airlines,TPA,55470,1720329.790563932,-1713285.848456208
Southwest Airlines,TUL,9497,369902.00173730054,-968710.335093024
Southwest Airlines,TUS,8293,-1033490.7270596127,-1363482.3767388165
