reporting_airline,id,type,airport,x,y
Southwest Airlines,181,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,182,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,182,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,183,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,183,dest,DTW,1359641.697254995,-170996.60408534826
Southwest Airlines,184,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,184,dest,FLL,1989416.8668556917,-1869685.279595282
Southwest Airlines,185,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,185,dest,GRR,1172122.820083283,-131332.61154739256
Southwest Airlines,186,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,186,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,187,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,187,dest,IND,1166867.010981104,-490339.71160834696
Southwest Airlines,188,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,188,dest,ISP,2215883.546956132,-99560.578426239
Southwest Airlines,189,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,189,dest,JAX,1752547.7524868262,-1421732.3716896002
Southwest Airlines,190,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,190,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,191,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,191,dest,LAX,-1689593.4354288722,-1043456.7015018368
Southwest Airlines,192,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,192,dest,MCI,455074.4312943624,-619331.8913740775
Southwest Airlines,193,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,193,dest,MCO,1829771.2698870576,-1638824.7811905802
