year,airline,airport,type,block,n,airline_airport
1,AA,DFW,dep,1970-01-01T08:01:00Z,6133,AA/ DFW
1,AA,DFW,dep,1970-01-01T08:11:00Z,4344,AA/ DFW
1,AA,DFW,dep,1970-01-01T08:21:00Z,1001,AA/ DFW
1,AA,DFW,dep,1970-01-01T08:31:00Z,306,AA/ DFW
1,AA,DFW,dep,1970-01-01T08:41:00Z,111,AA/ DFW
1,AA,DFW,dep,1970-01-01T08:51:00Z,105,AA/ DFW
1,AA,DFW,dep,1970-01-01T09:01:00Z,241,AA/ DFW
1,AA,DFW,dep,1970-01-01T09:11:00Z,3171,AA/ DFW
1,AA,DFW,dep,1970-01-01T09:21:00Z,6174,AA/ DFW
1,AA,DFW,dep,1970-01-01T09:31:00Z,3014,AA/ DFW
1,AA,DFW,dep,1970-01-01T09:41:00Z,1052,AA/ DFW
1,AA,DFW,dep,1970-01-01T09:51:00Z,473,AA/ DFW
1,AA,DFW,dep,1970-01-01T10:01:00Z,360,AA/ DFW
1,AA,DFW,dep,1970-01-01T10:11:00Z,359,AA/ DFW
1,AA,DFW,dep,1970-01-01T10:21:00Z,290,AA/ DFW
1,AA,DFW,dep,1970-01-01T10:31:00Z,701,AA/ DFW
1,AA,DFW,dep,1970-01-01T10:41:00Z,4216,AA/ DFW
1,AA,DFW,dep,1970-01-01T10:51:00Z,5444,AA/ DFW
1,AA,DFW,dep,1970-01-01T11:01:00Z,3130,AA/ DFW
1,AA,DFW,dep,1970-01-01T11:11:00Z,1333,AA/ DFW
1,AA,DFW,dep,1970-01-01T11:21:00Z,862,AA/ DFW
1,AA,DFW,dep,1970-01-01T11:31:00Z,690,AA/ DFW
1,AA,DFW,dep,1970-01-01T11:41:00Z,1442,AA/ DFW
1,AA,DFW,dep,1970-01-01T11:51:00Z,1032,AA/ DFW
1,AA,DFW,dep,1970-01-01T12:01:00Z,578,AA/ DFW
1,AA,DFW,dep,1970-01-01T12:11:00Z,492,AA/ DFW
