"airline","airport","arr","dep","yearly_passengers","hub_type"
"DL","SRQ",1.63103257184587,2.01022544837076,555668,"Small"
"DL","STL",1.20375767245838,1.62679077881966,7341336,"Medium"
"DL","STT",2.23955696374497,2.02690757360803,595722,"Small"
"DL","STX",2.2159912688676,2.15283436654505,187990,"Nonhub"
"DL","SYR",2.48980824077787,2.41776700966861,1009548,"Small"
"DL","TLH",2.00891570514197,2.12753930492012,354192,"Nonhub"
"DL","TPA",1.07015676043173,1.12587985350059,9198974,"Large"
"DL","TRI",2.71405422453889,2.96740579844006,194582,"Nonhub"
"DL","TUL",2.38654654366158,2.55721474916448,1407521,"Small"
"DL","TUS",2.00021789923696,2.21938791251902,1677366,"Small"
"DL","TVC",2.71929556681343,2.66580268888227,230148,"Nonhub"
"DL","TYS",2.24398875979203,2.53388988645144,966012,"Small"
"DL","VPS",1.89880923912933,2.16334220722959,568036,"Small"
"DL","XNA",2.42210160460983,2.99568892683367,698464,"Small"
"UA","ABQ",2.43097371039566,2.60028291818836,2479239,"Medium"
